Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,290.24,291.44,282.54,285.77,1697700
2017-01-04,1483488000,286.98,292.08,284.23,291.55,1632500
2017-01-05,1483574400,289.75,297.13,289.73,296.17,1711900
2017-01-06,1483660800,296.12,298.79,294.46,298.16,1101300
2017-01-09,1483920000,297.2,297.94,294.71,296.26,1719500
2017-01-10,1484006400,296.66,300.15,293.46,298.2,1510100
2017-01-11,1484092800,297.45,300.04,296.1,299.54,1238000
2017-01-12,1484179200,298.05,298.24,294.56,297.19,1415400
2017-01-13,1484265600,297.31,300.07,296.89,298.43,1023500
2017-01-17,1484611200,294.02,306.37,292.84,306.14,3907500
2017-01-18,1484697600,306.15,307.32,302.09,303.69,1220600
2017-01-19,1484784000,302.93,307.76,301.28,306.13,1140400
2017-01-20,1484870400,307.64,309.18,306.16,308.44,1327000
2017-01-23,1485129600,307.2,309.85,306.17,308.7,1762400
2017-01-24,1485216000,309.74,310.21,307.01,308.35,1058800
2017-01-25,1485302400,309.15,311.2,307.16,310.31,1114700
2017-01-26,1485388800,333.37,341.5,324.81,333.15,12359700
2017-01-27,1485475200,332.92,334.12,316.96,323.55,2748900
2017-01-30,1485734400,323.48,325.26,316.99,324.8,2103500
2017-01-31,1485820800,322.65,325.27,321.03,323.95,1005900
2017-02-01,1485907200,323.85,327.01,321.94,326.85,944000
2017-02-02,1485993600,325.64,326.84,324.19,324.41,842500
2017-02-03,1486080000,325.43,329.1,324.12,328.71,1105800
2017-02-06,1486339200,327.83,328.28,319.18,322.6,2395700
2017-02-07,1486425600,322.98,325.39,321.33,323.37,1892100
2017-02-08,1486512000,323.55,327.5,323.2,325.73,982700
2017-02-09,1486598400,325.84,326.46,321.24,325.07,1224600
2017-02-10,1486684800,325.07,325.98,321.61,324.56,1035100
2017-02-13,1486944000,325.0,325.12,319.4,323.02,1708100
2017-02-14,1487030400,321.91,323.78,320.26,322.0,1091500
2017-02-15,1487116800,321.85,326.18,320.02,325.18,1380200
2017-02-16,1487203200,320.0,327.33,317.02,324.46,2050800
2017-02-17,1487289600,323.87,327.1,319.72,326.55,1532200
2017-02-21,1487635200,324.3,326.97,321.51,325.15,1283800
2017-02-22,1487721600,323.3,326.12,322.46,325.14,1475200
2017-02-23,1487808000,326.09,326.1,321.17,324.43,1530200
2017-02-24,1487894400,324.38,327.31,322.72,326.75,1160200
2017-02-27,1488153600,326.92,328.7,324.91,326.73,918200
2017-02-28,1488240000,326.03,326.78,320.25,323.06,1292900
2017-03-01,1488326400,325.76,328.1,321.66,325.17,1493000
2017-03-02,1488412800,324.68,324.68,321.83,323.95,897000
2017-03-03,1488499200,323.57,323.57,320.51,322.32,1130500
2017-03-06,1488758400,321.26,324.54,319.45,323.77,765500
2017-03-07,1488844800,323.91,327.04,322.36,323.24,1093500
2017-03-08,1488931200,323.17,325.08,321.68,322.6,1029200
2017-03-09,1489017600,322.87,326.1,321.43,323.14,921400
2017-03-10,1489104000,325.57,325.81,322.74,323.48,728500
2017-03-13,1489363200,323.19,325.56,323.0,324.34,732500
2017-03-14,1489449600,323.69,326.16,323.63,324.64,551600
2017-03-15,1489536000,324.84,326.89,323.82,325.38,1125000
2017-03-16,1489622400,324.69,326.82,323.34,323.72,725000
2017-03-17,1489708800,324.95,326.27,322.48,325.81,1451000
2017-03-20,1489968000,326.06,326.31,322.43,324.99,752800
2017-03-21,1490054400,325.23,326.27,319.98,320.66,801100
2017-03-22,1490140800,321.44,322.26,318.93,321.2,803300
2017-03-23,1490227200,320.5,326.75,319.5,323.62,1001500
2017-03-24,1490313600,324.94,327.74,323.64,325.35,1442000
2017-03-27,1490572800,323.74,325.76,319.61,323.14,1168900
2017-03-28,1490659200,322.05,325.73,320.6,324.08,1190300
2017-03-29,1490745600,323.9,327.12,323.28,325.94,810800
2017-03-30,1490832000,325.13,328.55,322.58,328.12,850600
2017-03-31,1490918400,326.73,330.91,326.03,327.32,1050200
2017-04-03,1491177600,327.5,330.81,325.02,328.27,1121600
2017-04-04,1491264000,328.4,334.0,326.96,331.52,1618900
2017-04-05,1491350400,332.21,338.75,329.55,331.99,1535100
2017-04-06,1491436800,331.75,336.96,330.55,336.8,1638100
2017-04-07,1491523200,337.67,338.51,330.55,330.65,1494500
2017-04-10,1491782400,330.45,333.15,329.56,331.37,965600
2017-04-11,1491868800,330.42,332.66,328.0,332.3,877300
2017-04-12,1491955200,331.01,335.69,330.54,334.57,1061600
2017-04-13,1492041600,335.28,335.7,329.65,330.0,705200
2017-04-17,1492387200,331.73,332.71,329.08,330.36,730300
2017-04-18,1492473600,329.62,331.0,325.95,328.18,1392600
2017-04-19,1492560000,330.01,335.96,328.31,333.61,1011000
2017-04-20,1492646400,335.28,337.05,333.18,335.59,888000
2017-04-21,1492732800,336.44,339.64,335.74,338.48,1092200
2017-04-24,1492992000,340.03,342.14,338.74,340.36,1138200
2017-04-25,1493078400,341.98,345.3,340.89,344.5,1405600
2017-04-26,1493164800,345.51,350.38,344.85,345.4,1495400
2017-04-27,1493251200,346.1,350.35,346.1,348.8,865200
2017-04-28,1493337600,349.83,349.99,342.78,345.16,1251700
2017-05-01,1493596800,346.29,347.25,341.87,344.14,1528300
