Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,2.4,2.5,2.34,2.49,560800
2017-01-04,1483488000,2.5,2.65,2.44,2.57,730400
2017-01-05,1483574400,2.59,2.61,2.45,2.46,548100
2017-01-06,1483660800,2.46,2.46,2.3,2.39,1615400
2017-01-09,1483920000,2.4,2.44,2.35,2.4,736900
2017-01-10,1484006400,2.4,2.44,2.35,2.43,283700
2017-01-11,1484092800,2.44,2.46,2.35,2.35,447900
2017-01-12,1484179200,2.35,2.46,2.35,2.42,527800
2017-01-13,1484265600,2.44,2.56,2.42,2.51,444300
2017-01-17,1484611200,2.5,2.51,2.34,2.34,594400
2017-01-18,1484697600,2.36,2.36,2.26,2.28,620000
2017-01-19,1484784000,2.28,2.33,2.25,2.25,613200
2017-01-20,1484870400,2.25,2.26,2.19,2.2,561300
2017-01-23,1485129600,2.17,2.22,2.1,2.1,439000
2017-01-24,1485216000,2.11,2.12,2.02,2.03,666600
2017-01-25,1485302400,2.06,2.08,2.0,2.03,393400
2017-01-26,1485388800,2.03,2.05,1.95,1.96,438900
2017-01-27,1485475200,1.95,1.99,1.94,1.98,379300
2017-01-30,1485734400,2.2,2.28,2.05,2.08,1303200
2017-01-31,1485820800,2.04,2.17,2.0,2.08,6061600
2017-02-01,1485907200,2.12,2.14,2.04,2.11,1162200
2017-02-02,1485993600,2.14,2.14,2.06,2.12,516100
2017-02-03,1486080000,2.15,2.34,2.12,2.33,1119600
2017-02-06,1486339200,2.35,2.5,2.31,2.45,1564800
2017-02-07,1486425600,2.46,2.52,2.4,2.4,992400
2017-02-08,1486512000,2.41,2.46,2.3,2.46,1019100
2017-02-09,1486598400,2.48,2.52,2.45,2.5,510200
2017-02-10,1486684800,2.49,2.6,2.47,2.51,1574400
2017-02-13,1486944000,2.53,2.53,2.33,2.39,686000
2017-02-14,1487030400,2.42,2.42,2.31,2.37,922900
2017-02-15,1487116800,2.35,2.48,2.33,2.45,1494500
2017-02-16,1487203200,2.44,2.47,2.36,2.39,766500
2017-02-17,1487289600,2.39,2.47,2.38,2.39,819800
2017-02-21,1487635200,2.4,2.44,2.31,2.36,898300
2017-02-22,1487721600,2.35,2.4,2.32,2.35,617200
2017-02-23,1487808000,2.35,2.37,2.32,2.32,469900
2017-02-24,1487894400,2.32,2.38,2.26,2.3,913400
2017-02-27,1488153600,2.3,2.53,2.29,2.52,1933900
2017-02-28,1488240000,2.54,2.54,2.37,2.45,3594900
